servertime;latitude;longitude;"""HDT - Heading True""";SOG in m/s;SOG in Knoten;"""COG - Course over Ground""";Heel;"""Trim Fore / Aft""";"""GPS Satellites""";"""GPS HAcc""";"""Battery Charge""";"""Battery 1 Voltage""";"""Battery 1 Current""";"""Battery 1 Temperature""";;;;;
"""2024-04-14 12:33:19.231""";47.664422;8.963094;329.92;4.173038;8.321037772;0.01;92.15;24.09;16;0.3408;83;4.051;-0.3359;-232.1;;;;;
"""2024-04-14 12:40:28.42""";47.670654;8.977299;338.24;3.574301;7.127156194;0.03;91.16;23.68;15;0.3799;82;4.039;-0.3469;-231.1;;;;;
"""2024-04-14 13:18:45.089""";47.666995;8.968382;331.57;6.13201;12.22722794;0.03;85.26;12.65;16;0.4709;76;3.992;-0.3599;-230.1;;;TWA;;TWS
"""2024-04-14 14:25:50.071""";47.66432;8.976658;0.1;0.03947291;0.078708983;0.04;-179.51;-3.93;16;1.35;66;3.914;-0.375;-229.1;;;0;;0
"""2024-04-14 12:07:36.761""";47.667267;8.973014;331.68;5.23379;10.43617726;0.05;85;22.62;16;0.521;89;4.09;-0.3708;-233.1;;;10;;0.681398169
"""2024-04-14 12:39:22.874""";47.670329;8.974842;332.21;6.145775;12.25467535;0.1;84.73;21.84;16;0.3518;82;4.043;-0.3308;-231.1;;;20;;
"""2024-04-14 12:35:47.139""";47.666538;8.967;333.86;4.804563;9.580298622;0.12;88.72;21.97;16;0.3328;83;4.047;-0.3198;-231.1;;;30;;
"""2024-04-14 14:25:51.067""";47.66432;8.976659;0.13;0.04287741;0.085497556;0.14;-179.51;-3.92;16;1.352;66;3.914;-0.3718;-229.1;;;40;;1.800385489
"""2024-04-14 12:33:19.229""";47.664064;8.963095;328.87;3.756536;7.490532784;0.15;82.72;21.3;16;0.3499;83;4.051;-0.3318;-232.1;;;50;;
"""2024-04-14 12:40:28.423""";47.671341;8.977325;333.17;6.112267;12.1878604;0.16;86.2;20.47;15;0.3918;82;4.039;-0.3518;-231.1;;;60;;
"""2024-04-14 13:15:50.094""";47.663999;8.962039;336.27;5.426928;10.82129443;0.16;87.27;14.74;15;0.3689;76;3.998;-0.3489;-230.1;;;70;;
"""2024-04-14 12:38:19.606""";47.669131;8.973296;332.19;5.921854;11.80817688;0.18;88.34;21.23;16;0.356;82;4.043;-0.3479;-231.1;;;80;;
"""2024-04-14 13:14:50.994""";47.663122;8.9598;331.41;4.863654;9.698126076;0.18;83.85;14.5;16;0.3738;77;4;-0.375;-230.1;;;90;;
"""2024-04-14 11:09:15.125""";47.664342;8.976687;0.13;0.05953513;0.118713049;0.19;139.46;10.92;15;1.869;96;4.164;-0.3098;-239.1;;;100;;
"""2024-04-14 13:31:29.683""";47.66477;8.961255;334.87;4.827011;9.625059934;0.19;86.62;15.37;15;0.4868;74;3.979;-0.3318;-231.1;;;110;;
"""2024-04-14 12:35:47.14""";47.666583;8.966998;331.94;5.034266;10.0383264;0.23;88.85;22.95;16;0.3328;83;4.047;-0.323;-232.1;;;120;;
"""2024-04-14 13:14:51.106""";47.663168;8.959799;331.25;5.049519;10.06874089;0.23;84.38;14.19;16;0.3799;77;4;-0.375;-230.1;;;130;;
"""2024-04-14 13:15:01.158""";47.663737;8.959895;336.91;5.82725;11.6195365;0.24;85.71;11.53;16;0.3828;77;3.998;-0.3718;-230.1;;;140;;
"""2024-04-14 13:20:40.495""";47.66813;8.971135;336.69;5.505888;10.97874067;0.24;83.28;10.11;16;0.4138;76;3.992;-0.356;-230.1;;;150;;
"""2024-04-14 12:25:22.063""";47.659904;8.955292;332.02;3.302088;6.584363472;0.31;95.32;28.05;16;0.5786;84;4.059;-0.3328;-234.1;;;160;;
"""2024-04-14 13:36:54.093""";47.664924;8.968254;330.97;5.547572;11.06185857;0.31;92.51;12.9;16;0.417;73;3.971;-0.3618;-232.1;;;170;;
"""2024-04-14 12:07:36.67""";47.667578;8.970115;332.23;5.932167;11.828741;0.32;85.58;21.69;16;0.6089;89;4.094;-0.3669;-233.1;;;180;;
"""2024-04-14 12:38:19.601""";47.668535;8.973307;331.28;5.907895;11.78034263;0.32;86.12;21.8;16;0.3508;82;4.043;-0.3518;-231.1;;;;;
"""2024-04-14 13:18:39.143""";47.666692;8.968384;331.82;4.764962;9.501334228;0.33;84.47;14.25;16;0.4138;76;3.992;-0.375;-230.1;;;;;
"""2024-04-14 13:14:44.908""";47.662835;8.95979;332.15;3.993916;7.963868504;0.35;80.94;12.17;16;0.3379;77;4;-0.3159;-230.1;;;;;
"""2024-04-14 12:37:29.246""";47.667486;8.969844;333.23;5.50386;10.97469684;0.36;83.52;20.73;16;0.3369;83;4.043;-0.3638;-231.1;;;;;
"""2024-04-14 12:33:19.23""";47.664274;8.963096;331.79;4.018487;8.012863078;0.37;89.9;24.23;16;0.3179;83;4.051;-0.314;-232.1;;;;;
"""2024-04-14 12:35:47.138""";47.666179;8.966976;333.69;4.979408;9.928939552;0.44;88.44;21.87;16;0.3108;83;4.047;-0.3049;-231.1;;;;;
"""2024-04-14 12:07:36.227""";47.665174;8.96642;328.03;5.807526;11.58020684;0.45;82.32;21.91;16;0.5815;89;4.094;-0.375;-234.1;;;;;
"""2024-04-14 12:38:19.602""";47.668806;8.973295;332.83;6.059533;12.0827088;0.46;84.3;21.01;16;0.3518;82;4.043;-0.3499;-231.1;;;;;
