time,servertime,latitude,longitude,"HDT - Heading True","SOG - Speed over Ground","COG - Course over Ground",Heel,"Trim Fore / Aft","GPS Satellites","GPS HAcc","Battery Charge","Battery 1 Voltage","Battery 1 Current","Battery 1 Temperature"
"2024-05-03 10:50:00.599","2024-05-03 10:50:01.153",46.130780,9.290252,155.38,0.1299924,155.38,-97.32,-29.52,8,9.68,95,4.172,-0.366,-246.1
"2024-05-03 10:50:01.599","2024-05-03 10:50:01.849",46.130775,9.290275,155.52,0.0941041,155.52,-97.4,-29.5,9,6.023,95,4.172,-0.3689,-246.1
"2024-05-03 10:50:02.599","2024-05-03 10:50:02.889",46.130775,9.290287,155.62,0.05708753,155.62,-97.25,-29.47,9,5,95,4.172,-0.3718,-246.1
"2024-05-03 10:50:03.599","2024-05-03 10:50:03.897",46.130774,9.290294,155.59,0.06638365,155.59,-97.43,-29.5,9,4.512,95,4.172,-0.375,-246.1
"2024-05-03 10:50:04.599","2024-05-03 10:50:04.887",46.130773,9.290299,155.53,0.04628874,155.53,-97.41,-29.49,9,4.164,95,4.172,-0.3799,-246.1
"2024-05-03 10:50:05.599","2024-05-03 10:50:05.856",46.130773,9.290301,155.6,0.04388136,155.6,-97.24,-29.48,9,3.885,95,4.172,-0.3809,-246.1
"2024-05-03 10:50:06.599","2024-05-03 10:50:06.932",46.130772,9.290304,155.42,0.05015424,155.42,-97.41,-29.51,8,3.68,95,4.172,-0.3799,-246.1
"2024-05-03 10:50:07.599","2024-05-03 10:50:07.9",46.130771,9.290305,155.38,0.04484608,155.38,-97.21,-29.49,8,3.51,95,4.172,-0.3828,-246.1
"2024-05-03 10:50:08.599","2024-05-03 10:50:08.9",46.130770,9.290305,155.38,0.03970886,155.38,-97.1,-29.47,9,3.363,95,4.172,-0.3818,-246.1
"2024-05-03 10:50:09.599","2024-05-03 10:50:09.86",46.130770,9.290305,155.22,0.05449269,155.22,-97.59,-29.52,9,3.227,95,4.172,-0.3828,-246.1
"2024-05-03 10:50:10.599","2024-05-03 10:50:10.901",46.130767,9.290305,155.56,0.06420521,155.56,-97.1,-29.47,9,3.09,95,4.172,-0.3818,-246.1
"2024-05-03 10:50:11.599","2024-05-03 10:50:11.876",46.130764,9.290307,155.33,0.04468058,155.33,-97.23,-29.5,9,2.965,95,4.168,-0.3848,-246.1
"2024-05-03 10:50:12.599","2024-05-03 10:50:12.956",46.130761,9.290308,155.2,0.0552274,155.2,-97.12,-29.49,9,2.854,95,4.168,-0.387,-246.1
"2024-05-03 10:50:13.599","2024-05-03 10:50:13.86",46.130759,9.290309,155.4,0.04669714,155.4,-97.35,-29.51,9,2.75,95,4.168,-0.3879,-246.1
"2024-05-03 10:50:14.599","2024-05-03 10:50:14.888",46.130758,9.290310,155.22,0.05460598,155.22,-97.4,-29.52,9,2.658,95,4.168,-0.387,-246.1
"2024-05-03 10:50:15.599","2024-05-03 10:50:15.854",46.130756,9.290311,155.52,0.05831143,155.52,-97.08,-29.49,9,2.582,95,4.168,-0.387,-246.1
"2024-05-03 10:50:16.599","2024-05-03 10:50:16.904",46.130755,9.290312,155.52,0.06620342,155.52,-97.52,-29.52,8,2.512,95,4.168,-0.3889,-246.1
"2024-05-03 10:50:17.599","2024-05-03 10:50:17.848",46.130753,9.290314,155.54,0.04887198,155.54,-97.29,-29.49,8,2.443,95,4.168,-0.3879,-246.1
"2024-05-03 10:50:18.599","2024-05-03 10:50:18.889",46.130752,9.290316,155.71,0.03630131,155.71,-97.45,-29.53,8,2.389,95,4.168,-0.3918,-245.1
"2024-05-03 10:50:19.599","2024-05-03 10:50:19.862",46.130751,9.290317,155.69,0.05002673,155.69,-97.36,-29.53,9,2.34,95,4.168,-0.3918,-246.1
