"time,servertime,latitude,longitude,""HDT - Heading True"",""SOG - Speed over Ground"",""COG - Course over Ground"",Heel,""Trim Fore / Aft"",""GPS Satellites"",""GPS HAcc"",""Battery Charge"",""Battery 1 Voltage"",""Battery 1 Current"",""Battery 1 Temperature"""
"2024-06-15 12:16:18.499,""2024-06-15 12:17:21.27"",47.668236,8.984737,295.82,0.09944064,295.82,-0.63,-0.23,6,11.55,64,3.92,-0.3618,-248.1"
"2024-06-15 12:16:19.599,""2024-06-15 12:17:21.27"",47.668235,8.984737,295.82,0.07352286,295.82,-0.65,-0.21,6,6.801,64,3.918,-0.365,-248.1"
"2024-06-15 12:16:20.599,""2024-06-15 12:17:21.27"",47.668235,8.984738,295.82,0.05692201,295.82,-0.65,-0.2,6,5.371,64,3.918,-0.3689,-248.1"
"2024-06-15 12:16:21.599,""2024-06-15 12:17:21.271"",47.668235,8.984738,295.82,0.07164885,295.82,-0.64,-0.19,6,4.691,64,3.918,-0.3689,-248.1"
"2024-06-15 12:16:22.599,""2024-06-15 12:17:21.271"",47.668235,8.984739,295.82,0.06003392,295.82,-0.67,-0.21,6,3.783,64,3.918,-0.3699,-248.1"
"2024-06-15 12:16:23.599,""2024-06-15 12:17:21.271"",47.668235,8.984739,295.82,0.03716851,295.82,-0.65,-0.2,6,3.113,64,3.916,-0.3728,-248.1"
"2024-06-15 12:16:24.599,""2024-06-15 12:17:21.271"",47.668235,8.984739,295.82,0.01769567,295.82,-0.66,-0.22,6,2.725,64,3.914,-0.376,-248.1"
"2024-06-15 12:16:25.599,""2024-06-15 12:17:21.272"",47.668236,8.984740,295.82,0.0189507,295.82,-0.64,-0.21,6,2.459,64,3.914,-0.3779,-248.1"
"2024-06-15 12:16:26.599,""2024-06-15 12:17:21.272"",47.668236,8.984740,295.82,0.01579515,295.82,-0.64,-0.21,6,2.264,64,3.914,-0.3799,-248.1"
"2024-06-15 12:16:27.599,""2024-06-15 12:17:21.272"",47.668236,8.984741,295.82,0.01936065,295.82,-0.64,-0.22,6,2.109,64,3.914,-0.3809,-248.1"
"2024-06-15 12:16:28.599,""2024-06-15 12:17:21.272"",47.668236,8.984741,295.82,0.01904824,295.82,-0.67,-0.22,6,1.987,64,3.912,-0.3818,-248.1"
"2024-06-15 12:16:29.599,""2024-06-15 12:17:21.272"",47.668236,8.984741,295.82,0.0211781,295.82,-0.66,-0.22,6,1.887,64,3.912,-0.3828,-248.1"
"2024-06-15 12:16:30.599,""2024-06-15 12:17:21.272"",47.668236,8.984740,295.82,0.01538231,295.82,-0.68,-0.22,8,1.764,64,3.912,-0.3838,-248.1"
"2024-06-15 12:16:31.599,""2024-06-15 12:17:21.273"",47.668237,8.984739,295.82,0.01590677,295.82,-0.69,-0.22,8,1.648,64,3.912,-0.386,-248.1"
"2024-06-15 12:16:32.599,""2024-06-15 12:17:21.273"",47.668237,8.984738,295.82,0.01860861,295.82,-0.69,-0.21,8,1.558,64,3.91,-0.3848,-248.1"
