time,servertime,latitude,longitude,"HDT - Heading True","SOG - Speed over Ground","COG - Course over Ground","TWA - True Wind Angle","TWD - True Wind Direction",Heel,"Trim Fore / Aft","VMG - Velocity Made Good","GPS Satellites","GPS HAcc","Battery Charge","Battery 1 Voltage","Battery 1 Temperature"
"2024-07-23 11:23:14.8","2024-07-23 16:47:16.836",47.656485,8.956011,312.33,0.01056956,312.33,,,-102.25,-0.52,,13,4.844,87,4.02,-245.2
"2024-07-23 11:23:15.8","2024-07-23 16:47:16.837",47.656451,8.955999,312.3,0.04232068,312.28,,,-102.29,-0.51,,13,3.277,87,4.02,-245.4
"2024-07-23 11:23:16.8","2024-07-23 16:47:16.837",47.656435,8.955996,312.31,0.05448391,312.31,,,-102.36,-0.47,,14,3.234,87,4.02,-245.2
"2024-07-23 11:23:17.8","2024-07-23 16:47:16.837",47.656425,8.955989,312.32,0.02837441,312.32,,,-102.38,-0.51,,12,10.09,87,4.02,-245.2
"2024-07-23 11:23:18.8","2024-07-23 16:47:16.838",47.656402,8.956010,312.26,0.0287037,312.25,,,-102.54,-0.43,,14,5.926,86,4.012,-245.2
"2024-07-23 11:23:19.6","2024-07-23 16:47:16.838",47.656394,8.956012,312.33,0.07542067,312.33,,,-102.48,-0.49,,14,4.625,86,4.012,-245.2
"2024-07-23 11:23:20.8","2024-07-23 16:47:16.838",47.656384,8.956018,312.28,0.05870323,312.27,,,-102.54,-0.51,,15,3.635,87,4.016,-245.2
"2024-07-23 11:23:21.8","2024-07-23 16:47:16.839",47.656381,8.956016,312.35,0.03543645,312.35,,,-102.66,-0.46,,13,3.201,86,4.012,-245.1
"2024-07-23 11:23:22.8","2024-07-23 16:47:16.839",47.656378,8.956014,312.05,0.04053096,312.08,,,-102.53,-0.47,,14,2.973,87,4.016,-245.2
"2024-07-23 11:23:23.7","2024-07-23 16:47:16.839",47.656374,8.956018,312.04,0.04038704,312.05,,,-102.45,-0.47,,14,2.697,87,4.016,-245.2
"2024-07-23 11:23:24.8","2024-07-23 16:47:16.84",47.656372,8.956021,312.1,0.0499557,312.08,,,-102.23,-0.52,,13,2.467,87,4.016,-245.2
"2024-07-23 11:23:25.8","2024-07-23 16:47:16.84",47.656371,8.956022,312.25,0.05711609,312.25,,,-102.26,-0.47,,14,2.301,87,4.016,-245.1
"2024-07-23 11:23:26.8","2024-07-23 16:47:16.84",47.656370,8.956022,312.22,0.04739021,312.22,,,-102.32,-0.49,,14,2.176,87,4.02,-245.2
"2024-07-23 11:23:27.8","2024-07-23 16:47:16.84",47.656369,8.956021,312.32,0.04530996,312.31,,,-102.35,-0.47,,13,2.066,88,4.02,-245.1
"2024-07-23 11:23:28.8","2024-07-23 16:47:16.841",47.656367,8.956022,312.39,0.04480155,312.38,,,-102.43,-0.41,,14,1.967,87,4.02,-245.1
"2024-07-23 11:23:29.8","2024-07-23 16:47:16.841",47.656364,8.956023,312.68,0.03595283,312.68,,,-102.57,-0.43,,14,1.885,87,4.02,-245
"2024-07-23 11:23:30.8","2024-07-23 16:47:16.841",47.656362,8.956025,312.56,0.02949015,312.56,,,-102.81,-0.44,,14,1.834,87,4.016,-245
"2024-07-23 11:23:31.8","2024-07-23 16:47:16.841",47.656360,8.956029,312.42,0.04692488,312.44,,,-102.98,-0.4,,14,1.778,87,4.016,-245.2
"2024-07-23 11:23:32.8","2024-07-23 16:47:16.841",47.656357,8.956033,312.21,0.03780688,312.23,,,-103.02,-0.38,,14,1.728,87,4.02,-244.9
"2024-07-23 11:23:33.8","2024-07-23 16:47:16.842",47.656355,8.956037,312.16,0.02493708,312.16,,,-103.05,-0.38,,15,1.675,87,4.02,-245.1
"2024-07-23 11:23:34.8","2024-07-23 16:47:16.842",47.656353,8.956039,311.89,0.0267682,311.92,,,-103.04,-0.41,,15,1.623,87,4.016,-245.1
"2024-07-23 11:23:35.8","2024-07-23 16:47:16.843",47.656352,8.956042,311.77,0.03011656,311.76,,,-103.09,-0.38,,13,1.585,87,4.02,-245.1
"2024-07-23 11:23:36.8","2024-07-23 16:47:16.843",47.656351,8.956043,311.81,0.03529565,311.82,,,-103.11,-0.4,,13,1.556,87,4.02,-245
"2024-07-23 11:23:37.8","2024-07-23 16:47:16.843",47.656351,8.956045,311.82,0.02441591,311.82,,,-103.11,-0.41,,14,1.539,87,4.02,-245.1
"2024-07-23 11:23:38.8","2024-07-23 16:47:16.844",47.656351,8.956047,311.85,0.01372371,311.85,,,-103.11,-0.42,,14,1.522,87,4.016,-245
"2024-07-23 11:23:39.8","2024-07-23 16:47:16.844",47.656350,8.956050,311.69,0.0199337,311.7,,,-103.05,-0.38,,15,1.506,86,4.012,-245
"2024-07-23 11:23:40.8","2024-07-23 16:47:16.844",47.656350,8.956054,311.81,0.02717034,311.79,,,-102.91,-0.44,,15,1.489,87,4.016,-245
"2024-07-23 11:23:41.8","2024-07-23 16:47:16.845",47.656350,8.956058,311.91,0.01081948,311.9,,,-103.12,-0.38,,14,1.473,87,4.016,-245.1
"2024-07-23 11:23:42.8","2024-07-23 16:47:16.845",47.656349,8.956061,312.07,0.01908686,312.07,,,-103.2,-0.36,,12,1.46,87,4.02,-244.9
"2024-07-23 11:23:43.8","2024-07-23 16:47:16.845",47.656348,8.956063,311.91,0.01785626,311.92,,,-103.02,-0.31,,13,1.447,88,4.02,-244.9
"2024-07-23 11:23:44.8","2024-07-23 16:47:16.846",47.656347,8.956067,312.01,0.01516324,311.99,,,-103.09,-0.24,,14,1.431,87,4.02,-245
"2024-07-23 11:23:45.8","2024-07-23 16:47:16.846",47.656347,8.956070,312.03,0.01872365,312.05,,,-103.07,-0.27,,15,1.413,87,4.016,-245
"2024-07-23 11:23:46.8","2024-07-23 16:47:16.846",47.656346,8.956076,311.96,0.01236873,311.94,,,-103.02,-0.31,,16,1.396,87,4.02,-244.9
"2024-07-23 11:23:47.8","2024-07-23 16:47:16.847",47.656345,8.956081,311.97,0.01016911,311.96,,,-103.04,-0.34,,16,1.378,87,4.02,-244.9
"2024-07-23 11:23:48.8","2024-07-23 16:47:16.847",47.656344,8.956085,312.08,0.00942299,312.1,,,-103.03,-0.35,,14,1.359,87,4.016,-244.8
"2024-07-23 11:23:49.8","2024-07-23 16:47:16.847",47.656343,8.956090,311.93,0.01491179,311.92,,,-103.07,-0.33,,14,1.342,87,4.02,-244.8
"2024-07-23 11:23:50.8","2024-07-23 16:47:16.848",47.656343,8.956093,312.02,0.0135538,312.03,,,-103.12,-0.34,,14,1.326,87,4.016,-244.9
"2024-07-23 11:23:51.8","2024-07-23 16:47:16.848",47.656342,8.956096,311.86,0.01158243,311.87,,,-103.14,-0.35,,14,1.311,87,4.02,-244.8
"2024-07-23 11:23:52.8","2024-07-23 16:47:16.848",47.656342,8.956098,311.9,0.01388833,311.89,,,-103.13,-0.33,,15,1.298,87,4.02,-244.9
"2024-07-23 11:23:53.8","2024-07-23 16:47:16.849",47.656342,8.956098,311.93,0.01758765,311.92,,,-103.05,-0.32,,13,1.288,87,4.02,-244.8
"2024-07-23 11:23:54.8","2024-07-23 16:47:16.849",47.656342,8.956099,311.99,0.01612832,312.01,,,-103.05,-0.32,,14,1.28,87,4.02,-244.6
"2024-07-23 11:23:55.8","2024-07-23 16:47:16.849",47.656342,8.956101,312.01,0.02864258,311.99,,,-103.07,-0.3,,14,1.272,87,4.02,-244.8
"2024-07-23 11:23:56.8","2024-07-23 16:47:16.85",47.656343,8.956102,311.98,0.01763083,311.99,,,-103.11,-0.32,,15,1.267,87,4.016,-244.6
"2024-07-23 11:23:57.8","2024-07-23 16:47:16.85",47.656343,8.956103,312.01,0.01568062,312,,,-103.11,-0.32,,14,1.264,87,4.016,-244.8
"2024-07-23 11:23:58.8","2024-07-23 16:47:16.85",47.656344,8.956104,311.87,0.01565899,311.88,,,-103.13,-0.3,,13,1.261,87,4.016,-244.6
"2024-07-23 11:23:59.8","2024-07-23 16:47:16.85",47.656345,8.956104,311.74,0.02223581,311.74,,,-103.12,-0.31,,12,1.26,87,4.016,-244.8
"2024-07-23 11:24:00.6","2024-07-23 16:47:16.85",47.656345,8.956103,311.85,0.01288106,311.81,,,-103.13,-0.32,,14,1.257,87,4.02,-244.8
"2024-07-23 11:24:01.8","2024-07-23 16:47:16.851",47.656345,8.956104,312.03,0.01703916,312.01,,,-103.08,-0.31,,15,1.255,87,4.02,-244.8
"2024-07-23 11:24:02.8","2024-07-23 16:47:16.851",47.656345,8.956105,312.03,0.02232983,312.02,,,-103,-0.32,,15,1.255,87,4.02,-244.6
"2024-07-23 11:24:03.8","2024-07-23 16:47:16.851",47.656345,8.956106,312.11,0.01463116,312.11,,,-103,-0.26,,14,1.256,87,4.02,-244.6
"2024-07-23 11:24:04.7","2024-07-23 16:47:16.851",47.656346,8.956106,312.07,0.02611247,312.1,,,-103.04,-0.25,,16,1.256,87,4.016,-244.5
"2024-07-23 11:24:05.8","2024-07-23 16:47:16.852",47.656346,8.956107,311.93,0.02414827,311.92,,,-103.07,-0.24,,16,1.253,87,4.02,-244.6
"2024-07-23 11:24:06.8","2024-07-23 16:47:16.852",47.656347,8.956109,312.11,0.02445492,312.11,,,-103.11,-0.36,,16,1.244,87,4.02,-244.6
"2024-07-23 11:24:07.8","2024-07-23 16:47:16.852",47.656346,8.956112,312.05,0.0165865,312.07,,,-103.19,-0.4,,15,1.236,87,4.02,-244.6
"2024-07-23 11:24:08.8","2024-07-23 16:47:16.852",47.656347,8.956113,311.99,0.02073244,312,,,-103.23,-0.33,,15,1.23,87,4.016,-244.6
"2024-07-23 11:24:09.8","2024-07-23 16:47:16.853",47.656346,8.956113,311.89,0.02395498,311.89,,,-103.13,-0.26,,13,1.227,87,4.016,-244.5
"2024-07-23 11:24:10.8","2024-07-23 16:47:16.865",47.656346,8.956113,311.96,0.0231297,311.94,,,-103.19,-0.29,,14,1.228,87,4.02,-244.5
"2024-07-23 11:24:11.8","2024-07-23 16:47:16.865",47.656346,8.956113,312.03,0.04857378,312.02,,,-103.22,-0.3,,16,1.227,87,4.016,-244.6
"2024-07-23 11:24:12.8","2024-07-23 16:47:16.865",47.656346,8.956115,312,0.0288518,312,,,-103.21,-0.38,,15,1.217,87,4.02,-244.4
"2024-07-23 11:24:13.8","2024-07-23 16:47:16.866",47.656345,8.956116,311.91,0.03136942,311.92,,,-103.22,-0.37,,15,1.204,87,4.02,-244.6
"2024-07-23 11:24:14.8","2024-07-23 16:47:16.866",47.656344,8.956118,311.7,0.01701897,311.72,,,-103.4,-0.36,,15,1.193,87,4.02,-244.5
"2024-07-23 11:24:15.8","2024-07-23 16:47:16.866",47.656343,8.956119,311.82,0.01338333,311.8,,,-103.34,-0.48,,15,1.186,87,4.016,-244.5
"2024-07-23 11:24:16.8","2024-07-23 16:47:16.866",47.656342,8.956119,311.69,0.01800933,311.72,,,-103.24,-0.43,,14,1.177,87,4.016,-244.6
"2024-07-23 11:24:17.8","2024-07-23 16:47:16.866",47.656342,8.956121,311.67,0.01446109,311.67,,,-103.01,1.22,,14,1.171,87,4.02,-244.4
"2024-07-23 11:24:18.8","2024-07-23 16:47:16.867",47.656341,8.956124,311.57,0.1121164,311.48,,,-103.74,-0.43,,15,1.17,87,4.016,-244.4
"2024-07-23 11:24:19.8","2024-07-23 16:47:16.867",47.656340,8.956125,312.69,0.1471599,312.64,,,-96.86,-2.58,,14,1.161,86,4.012,-244.5
"2024-07-23 11:24:20.8","2024-07-23 16:47:16.867",47.656337,8.956120,311.96,0.3113525,312.13,,,-89.18,-3.5,,16,1.158,87,4.016,-244.4
"2024-07-23 11:24:21.8","2024-07-23 16:47:16.867",47.656336,8.956116,310.82,0.5304447,231.92,,,-85.55,-6.17,,16,1.158,87,4.016,-244.5
