time,servertime,latitude,longitude,"HDT - Heading True","SOG - Speed over Ground","COG - Course over Ground",Heel,"Trim Fore / Aft","GPS Satellites","GPS HAcc","Battery Charge","Battery 1 Voltage","Battery 1 Current","Battery 1 Temperature"
"2024-08-09 13:41:04.499","2024-08-09 19:13:45.256",47.664329,8.975675,38.99,0.0494987,38.99,0.04,5.78,6,6.57,90,4.164,-0.3818,-240.1
"2024-08-09 13:41:05.499","2024-08-09 19:13:45.257",47.664347,8.975691,38.98,0.03932971,38.98,0.04,5.78,6,4.805,90,4.164,-0.3818,-240.1
"2024-08-09 13:41:06.499","2024-08-09 19:13:45.257",47.664356,8.975699,38.98,0.04445194,38.98,0.03,5.81,6,4.355,90,4.164,-0.3818,-240.1
"2024-08-09 13:41:07.499","2024-08-09 19:13:45.257",47.664361,8.975705,38.98,0.06477047,38.98,0.03,5.79,6,4.137,90,4.164,-0.3818,-240.1
"2024-08-09 13:41:08.499","2024-08-09 19:13:45.257",47.664365,8.975711,38.98,0.0795956,38.98,0.04,5.79,6,4.023,90,4.164,-0.3809,-240.1
"2024-08-09 13:41:09.499","2024-08-09 19:13:45.257",47.664367,8.975713,38.98,0.07810047,38.98,0.05,5.78,6,3.949,90,4.164,-0.3828,-240.1
"2024-08-09 13:41:10.499","2024-08-09 19:13:45.257",47.664370,8.975715,38.99,0.08599939,38.99,0.04,5.77,6,3.885,90,4.16,-0.3828,-240.1
"2024-08-09 13:41:11.499","2024-08-09 19:13:45.258",47.664372,8.975716,38.98,0.06207016,38.98,0.04,5.76,6,3.83,90,4.16,-0.3828,-240.1
"2024-08-09 13:41:12.499","2024-08-09 19:13:45.258",47.664375,8.975718,38.98,0.06620865,38.98,0.04,5.77,6,3.783,90,4.16,-0.3838,-240.1
"2024-08-09 13:41:13.499","2024-08-09 19:13:45.258",47.664379,8.975719,38.98,0.08930481,38.98,0.02,5.78,6,3.746,90,4.16,-0.3848,-240.1
"2024-08-09 13:41:14.499","2024-08-09 19:13:45.258",47.664383,8.975719,38.98,0.1082384,38.98,0.03,5.79,6,3.705,90,4.16,-0.3818,-240.1
"2024-08-09 13:41:15.499","2024-08-09 19:13:45.258",47.664385,8.975722,38.98,0.04337087,38.98,0.03,5.79,6,3.662,90,4.16,-0.3789,-240.1
"2024-08-09 13:41:16.499","2024-08-09 19:13:45.259",47.664387,8.975724,38.98,0.04776962,38.98,0.04,5.77,6,3.619,90,4.16,-0.3779,-239.1
"2024-08-09 13:41:17.499","2024-08-09 19:13:45.259",47.664388,8.975724,38.98,0.05100162,38.98,0.03,5.75,6,3.572,90,4.16,-0.377,-239.1
"2024-08-09 13:41:18.499","2024-08-09 19:13:45.259",47.664388,8.975723,38.98,0.1940429,38.98,0.05,5.76,6,3.555,90,4.16,-0.3779,-240.1
"2024-08-09 13:41:19.499","2024-08-09 19:13:45.259",47.664390,8.975728,38.99,0.1231771,38.99,0.07,5.75,6,3.488,90,4.16,-0.3779,-240.1
"2024-08-09 13:41:20.499","2024-08-09 19:13:45.259",47.664392,8.975728,38.99,0.1043058,38.99,0.05,5.75,6,3.447,90,4.16,-0.3738,-239.1
"2024-08-09 13:41:21.499","2024-08-09 19:13:45.26",47.664395,8.975727,38.98,0.1252761,38.98,0.03,5.78,6,3.41,90,4.16,-0.3689,-239.1
"2024-08-09 13:41:22.499","2024-08-09 19:13:45.26",47.664399,8.975728,38.98,0.1274065,38.98,0.03,5.75,6,3.381,90,4.16,-0.3638,-239.1
"2024-08-09 13:41:23.499","2024-08-09 19:13:45.26",47.664403,8.975734,38.98,0.1347879,38.98,0.03,5.75,6,3.354,90,4.164,-0.3608,-239.1
"2024-08-09 13:41:24.499","2024-08-09 19:13:45.26",47.664404,8.975731,38.98,0.08607119,38.98,0.02,5.78,6,3.312,90,4.164,-0.3569,-239.1
